Time,PtfmTDX_Floater,PtfmTDY_Floater,PtfmTDZ_Floater,PtfmRDX_Floater,PtfmRDY_Floater,PtfmRDZ_Floater,Vx_Floater_local,Vy_Floater_local,Vz_Floater_local,Wx_Floater,Wy_Floater,Wz_Floater
1171.25,26.151147729974696,-44.71897574791617,15.243154031690109,-0.10873264074325562,-1.4729915857315066,0.2013750821352005,-0.04689491573967757,0.13823678301015685,-0.21517174778082818,0.11195743083953857,0.06684653460979462,-0.026869788765907288
1171.5,26.13810268911149,-44.686494902976264,15.193773544341488,-0.07928008586168289,-1.4568636417388916,0.19300080835819244,-0.05748950953847523,0.12160388710742188,-0.17990390807315493,0.12197095155715942,0.06228804215788842,-0.03991381824016571
1171.75,26.122342783938606,-44.658272780226945,15.153660080912966,-0.047418154776096344,-1.442208170890808,0.1812622994184494,-0.06861959196792937,0.10416284358630379,-0.14102865726976163,0.1305733174085617,0.05505390837788582,-0.05385834351181984
1172.0,26.10381255890588,-44.63445715730261,15.123634509099539,-0.013529221527278423,-1.4297027587890625,0.16596917808055878,-0.07965718612451454,0.08634988857893443,-0.09919339784231819,0.13750188052654266,0.04503865912556648,-0.06841793656349182
1172.25,26.08261476829391,-44.615096687121394,15.104362645150513,0.02189633809030056,-1.4200108051300049,0.1470063179731369,-0.08996357222921625,0.06852146271439728,-0.054988880352401445,0.14216603338718414,0.032454896718263626,-0.08326303958892822
1172.5,26.05899787636567,-44.60015377487764,15.096365588711164,0.05818972736597061,-1.4137039184570312,0.12434184551239014,-0.09900903254781575,0.051010737277630155,-0.00898543524499156,0.14373846352100372,0.017828872427344322,-0.09804614633321762
1172.75,26.033324858927113,-44.58950893186003,15.100015379890216,0.09446981549263,-1.4111909866333008,0.09803356975317001,-0.10641028043324179,0.034139571931622766,0.038199913867150555,0.14135681092739105,0.001931414590217173,-0.11238928139209747
1173.0,26.00604393369041,-44.58296964706567,15.11550861040274,0.12966622412204742,-1.412672519683838,0.06824324280023575,-0.11186897388619636,0.018170488917495554,0.08577864943508909,0.1343810111284256,-0.014328171499073504,-0.12583748996257782
1173.25,25.97768268934639,-44.5802969860537,15.142809047490589,0.1626041829586029,-1.4181207418441772,0.03526388108730316,-0.11504988133452944,0.0032123262577960308,0.13267638528389683,0.12263454496860506,-0.030019339174032215,-0.13780106604099274
1173.5,25.94887088367494,-44.58125453816333,15.181571191709,0.19213563203811646,-1.4272890090942383,-0.0004408878739923239,-0.11547288161483661,-0.010864094370864068,0.17749251227782123,0.10653799027204514,-0.04430411383509636,-0.1475168764591217
1173.75,25.920382137765323,-44.58566602990734,15.231073296380911,0.21727776527404785,-1.439748764038086,-0.03819043189287186,-0.11246726588146165,-0.024411906805775704,0.21861457275785942,0.08703756332397461,-0.05654312670230866,-0.15402835607528687
1174.0,25.89316357135486,-44.593449838126716,15.290199946255843,0.23730695247650146,-1.4549504518508911,-0.07705223560333252,-0.10531404561226626,-0.037838366671001704,0.2545025655255874,0.0653185024857521,-0.06638387590646744,-0.15629199147224426
1174.25,25.868320451833274,-44.60460490021888,15.357496942477557,0.25177502632141113,-1.4722970724105835,-0.11584055423736572,-0.09346505027447403,-0.05138192667435877,0.2839827697841634,0.04246214032173157,-0.07377645373344421,-0.1533389836549759
