Time,telescoping,luffing,slewing,telescoping_vel,luffing_vel,slewing_vel
1276.75,0.9545710881845615,-0.2636330891108254,0.4962946456926799,0.24880701530530355,0.642338662177505,0.06456650646559159
1277.0,1.0154548288007987,-0.07896389082867772,0.5013276260906402,0.2379145618021622,0.8165259637614086,-0.03683716077095722
1277.25,1.0727906195467547,0.14462989276987895,0.4778760653072013,0.22058514062592646,0.9527558371595931,-0.15790795227303822
1277.5,1.12491839265644,0.39741402775111884,0.4223736499541211,0.196398228929361,1.0506376687052097,-0.287275513944084
1277.75,1.1700976923997324,0.6699487271224838,0.3342383083351593,0.16509435445253245,1.1127028711907179,-0.4129862620849379
1278.0,1.2065770127662958,0.9537654633464778,0.21588051891165214,0.12680477293122133,1.1437153748322189,-0.5236215101943562
1278.25,1.2326914340509205,1.2418064145385932,0.07242755323798117,0.08220919253439388,1.149639790745122,-0.6091865570523693
1278.5,1.2470319010179622,1.5285853587190388,-0.08871275961453257,0.03258324198383337,1.1365894943854014,-0.6617378101234833
1278.75,1.2485609772821107,1.8101011617312939,-0.2584413518237605,-0.02033132022069685,1.1099630146836454,-0.6758969152066087
1279.0,1.2367018803995187,2.0835668660608615,-0.4266612172178369,-0.07455128287614513,1.0739079000294978,-0.6492641825205567
1279.25,1.211368887827657,2.3470551117460428,-0.5830734430840389,-0.1280790980852035,1.0311648340649207,-0.5826420576540301
1279.5,1.1729705828490822,2.599149283093322,-0.717982246044852,-0.1790747194916338,0.9832578760751796,-0.48014435299541613
1279.75,1.1223372717126736,2.8386840497836325,-0.8231456195817469,-0.22594259405854006,0.9308299717160935,-0.3490452249337588
1280.0,1.0606721001247905,3.0645642689513686,-0.8925048585117313,-0.267346878924546,0.8739656728025942,-0.19912474022773452
1280.25,0.989478318685638,3.2756668861849296,-0.9227079896956142,-0.30218271955424736,0.8124314876037273,-0.041690474569864966
1280.5,0.9105092182694392,3.4707800127532322,-0.9133500957966638,-0.3295539757166476,0.7457814654858685,0.11173812573110764
1280.75,0.8257220096042452,3.648557618927864,-0.8668389268300604,-0.34879893187905103,0.6734049962370561,0.2507761301911198
1281.0,0.7371842820320218,3.8074825108717603,-0.7879620307011039,-0.35955614040954953,0.5945614439431361,0.3673514582892079
1281.25,0.6470246257000696,3.945838340899432,-0.6831631976854564,-0.36182121364798303,0.5084889784603988,0.4564662193439941
1281.5,0.5573116340836819,4.06172700010196,-0.5597289210291069,-0.3559638342960355,0.41456565500957776,0.5162929616834028
1281.75,0.4699859766270116,4.153121168404221,-0.425016716843755,-0.34268600436174684,0.3124808233900911,0.5479580829422073
1282.0,0.38678978405849307,4.217967411797005,-0.28574987955800324,-0.3229304350590517,0.2024116323201106,0.554891737251942
1282.25,0.30921237463895324,4.254326984564276,-0.14757084821778405,-0.2977408496383156,0.08510912350460842,0.5417916857591556
1282.5,0.23848052860844504,4.260521973549309,-0.014854036678425444,-0.2681323334798216,-0.038115503796937844,0.5138660120163338
